idx,true_damage_label,description,consistency_label,mismatch_type,severity_label
35,crack,"Sofortige Auszahlung benötigt, keine Details verfügbar.",0,fraud_signal,minor
26,dent,"Kleiner Kratzer laut Kunde, kaum sichtbar — dringend Auszahlung.",0,fraud_signal,medium
23,crack,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,minor
47,crack,"Fahrzeug komplett zerstört, Totalschaden nach Unfall.",0,severity_mismatch,minor
35,glass_shatter,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,medium
23,scratch,"Schramme am Stossfänger, Farbe abgeschürft.",1,none,minor
22,scratch,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,0,damage_type_mismatch,minor
13,glass_shatter,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,1,none,medium
9,dent,"Fahrzeug gestohlen, keine Zeugen, sofortige Entschädigung erbeten.",0,fraud_signal,medium
47,crack,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,0,damage_type_mismatch,minor
26,scratch,"Totalschaden nach Unfall, keine Polizeirapport, dringend Rückerstattung.",0,fraud_signal,minor
19,glass_shatter,"Keine Zeugen, sofort gemeldet, dringend Entschädigung CHF 15.000.",0,fraud_signal,medium
16,dent,"Massiver Frontschaden, Airbags ausgelöst, nicht fahrbereit.",0,severity_mismatch,medium
18,scratch,"Totalschaden nach Unfall, keine Polizeirapport, dringend Rückerstattung.",0,fraud_signal,minor
16,dent,"Kleiner Kratzer laut Kunde, kaum sichtbar — dringend Auszahlung.",0,fraud_signal,medium
29,scratch,"Fahrzeug vollständig demoliert, Totalschaden.",0,severity_mismatch,minor
37,crack,Gebrochenes Kunststoffteil an der vorderen Verkleidung.,1,none,minor
49,no_damage,Massiver Schaden an Karosserie und Motor nach Kollision.,0,severity_mismatch,none
28,glass_shatter,"Kleiner Kratzer, kaum sichtbar, nur oberflächlich.",0,severity_mismatch,medium
38,glass_shatter,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,medium
31,scratch,"Massiver Schaden, bar bezahlt, keine Quittung.",0,fraud_signal,minor
45,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
12,crack,"Sofortige Auszahlung benötigt, keine Details verfügbar.",0,fraud_signal,minor
30,crack,"Fahrzeug komplett zerstört, Totalschaden nach Unfall.",0,severity_mismatch,minor
4,scratch,"Fahrzeug vollständig demoliert, Totalschaden.",0,severity_mismatch,minor
46,glass_shatter,"Keine Zeugen, sofort gemeldet, dringend Entschädigung CHF 15.000.",0,fraud_signal,medium
9,crack,Bruch am Stossfänger nach Kollision mit Randstein.,1,none,minor
41,glass_shatter,Heckscheibe zerbrochen durch Vandalismusschaden.,1,none,medium
22,dent,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,1,none,medium
15,dent,"Fahrzeug gestohlen, keine Zeugen, sofortige Entschädigung erbeten.",0,fraud_signal,medium
6,no_damage,Massiver Schaden an Karosserie und Motor nach Kollision.,0,severity_mismatch,none
29,glass_shatter,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",1,none,medium
37,scratch,"Totalschaden nach Unfall, keine Polizeirapport, dringend Rückerstattung.",0,fraud_signal,minor
34,no_damage,"Fahrzeug in einwandfreiem Zustand, keine Beeinträchtigungen.",1,none,none
14,scratch,"Lackschaden durch Vandalismus, langer Kratzer auf der Fahrerseite.",1,none,minor
8,glass_shatter,Kleiner Kratzer laut Kunde — Totalschaden beantragt.,0,fraud_signal,medium
11,glass_shatter,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",1,none,medium
38,crack,"Massiver Strukturschaden, Fahrzeug muss abgeschrieben werden.",0,severity_mismatch,minor
39,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
42,dent,"Beule an der hinteren Stossstange, Fahrzeug war geparkt.",1,none,medium
29,no_damage,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,0,damage_type_mismatch,none
32,crack,Bruch am Stossfänger nach Kollision mit Randstein.,1,none,minor
5,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
46,no_damage,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,0,damage_type_mismatch,none
4,no_damage,Überprüfung ergab keine äusserlichen Schäden am Fahrzeug.,1,none,none
21,dent,"Massiver Frontschaden, Airbags ausgelöst, nicht fahrbereit.",0,severity_mismatch,medium
8,crack,"Riss in der Frontschürze, strukturell nicht beeinträchtigt.",1,none,minor
46,dent,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,1,none,medium
44,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
33,crack,"Fahrzeug komplett zerstört, Totalschaden nach Unfall.",0,severity_mismatch,minor
23,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
23,no_damage,Überprüfung ergab keine äusserlichen Schäden am Fahrzeug.,1,none,none
6,crack,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,0,damage_type_mismatch,minor
28,glass_shatter,Delle an der Fahrertür nach Parkschaden durch unbekannten Dritten.,0,damage_type_mismatch,medium
15,scratch,Oberflächlicher Lackschaden beim Einparken in enger Parklücke.,1,none,minor
9,scratch,"Beule an der hinteren Stossstange, Fahrzeug war geparkt.",0,damage_type_mismatch,minor
39,crack,"Unbekannte haben Fahrzeug gestohlen, keine Zeugen.",0,fraud_signal,minor
45,crack,"Sofortige Auszahlung benötigt, keine Details verfügbar.",0,fraud_signal,minor
11,crack,"Glasbruch an der Frontscheibe, Splitter im Fahrzeug.",0,damage_type_mismatch,minor
16,no_damage,"Totalschaden, gestohlen, dringend Entschädigung, bar bezahlt.",0,fraud_signal,none
0,no_damage,"Fahrzeug wirkt unbeschädigt, keine Spuren einer Kollision.",1,none,none
49,crack,"Sofortige Auszahlung benötigt, keine Details verfügbar.",0,fraud_signal,minor
12,no_damage,"Beule an der hinteren Stossstange, Fahrzeug war geparkt.",0,damage_type_mismatch,none
16,scratch,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",0,damage_type_mismatch,minor
48,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
32,crack,Delle an der Fahrertür nach Parkschaden durch unbekannten Dritten.,0,damage_type_mismatch,minor
13,dent,"Fahrzeug gestohlen, keine Zeugen, sofortige Entschädigung erbeten.",0,fraud_signal,medium
30,dent,"Beule an der hinteren Stossstange, Fahrzeug war geparkt.",1,none,medium
3,scratch,"Totalschaden nach Unfall, keine Polizeirapport, dringend Rückerstattung.",0,fraud_signal,minor
6,dent,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",0,damage_type_mismatch,medium
18,dent,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,1,none,medium
11,dent,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,1,none,medium
11,scratch,"Massiver Schaden, bar bezahlt, keine Quittung.",0,fraud_signal,minor
30,glass_shatter,Oberflächlicher Lackschaden beim Einparken in enger Parklücke.,0,damage_type_mismatch,medium
20,scratch,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,0,damage_type_mismatch,minor
23,no_damage,Delle an der Fahrertür nach Parkschaden durch unbekannten Dritten.,0,damage_type_mismatch,none
28,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
2,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
11,scratch,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,1,none,minor
5,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
30,scratch,"Beule an der hinteren Stossstange, Fahrzeug war geparkt.",0,damage_type_mismatch,minor
10,glass_shatter,"Keine Zeugen, sofort gemeldet, dringend Entschädigung CHF 15.000.",0,fraud_signal,medium
39,dent,"Totalschaden, Fahrzeug wirtschaftlich nicht mehr reparierbar.",0,severity_mismatch,medium
44,no_damage,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,0,damage_type_mismatch,none
7,crack,Heckscheibe zerbrochen durch Vandalismusschaden.,0,damage_type_mismatch,minor
35,no_damage,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,none
15,crack,"Massiver Strukturschaden, Fahrzeug muss abgeschrieben werden.",0,severity_mismatch,minor
27,scratch,Heckscheibe zerbrochen durch Vandalismusschaden.,0,damage_type_mismatch,minor
24,glass_shatter,Oberflächlicher Lackschaden beim Einparken in enger Parklücke.,0,damage_type_mismatch,medium
15,dent,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,1,none,medium
21,no_damage,"Fahrzeug in einwandfreiem Zustand, keine Beeinträchtigungen.",1,none,none
48,crack,"Unbekannte haben Fahrzeug gestohlen, keine Zeugen.",0,fraud_signal,minor
41,glass_shatter,Kleiner Kratzer laut Kunde — Totalschaden beantragt.,0,fraud_signal,medium
12,glass_shatter,Delle an der Fahrertür nach Parkschaden durch unbekannten Dritten.,0,damage_type_mismatch,medium
12,glass_shatter,"Minimaler Schaden, kaum der Rede wert, kleiner Kratzer.",0,severity_mismatch,medium
16,no_damage,Delle an der Fahrertür nach Parkschaden durch unbekannten Dritten.,0,damage_type_mismatch,none
17,glass_shatter,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",1,none,medium
24,scratch,"Fahrzeug vollständig demoliert, Totalschaden.",0,severity_mismatch,minor
22,glass_shatter,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,0,damage_type_mismatch,medium
28,scratch,"Fahrzeug vollständig demoliert, Totalschaden.",0,severity_mismatch,minor
27,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
40,scratch,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,0,damage_type_mismatch,minor
19,crack,"Sofortige Auszahlung benötigt, keine Details verfügbar.",0,fraud_signal,minor
27,dent,"Totalschaden, Fahrzeug wirtschaftlich nicht mehr reparierbar.",0,severity_mismatch,medium
47,no_damage,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,none
21,crack,"Massiver Strukturschaden, Fahrzeug muss abgeschrieben werden.",0,severity_mismatch,minor
40,scratch,"Totalschaden nach Unfall, keine Polizeirapport, dringend Rückerstattung.",0,fraud_signal,minor
13,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
14,scratch,"Massiver Schaden, bar bezahlt, keine Quittung.",0,fraud_signal,minor
0,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
19,glass_shatter,Oberflächlicher Lackschaden beim Einparken in enger Parklücke.,0,damage_type_mismatch,medium
23,crack,"Fahrzeug komplett zerstört, Totalschaden nach Unfall.",0,severity_mismatch,minor
17,glass_shatter,"Minimaler Schaden, kaum der Rede wert, kleiner Kratzer.",0,severity_mismatch,medium
44,scratch,"Beule an der hinteren Stossstange, Fahrzeug war geparkt.",0,damage_type_mismatch,minor
31,crack,"Massiver Strukturschaden, Fahrzeug muss abgeschrieben werden.",0,severity_mismatch,minor
11,no_damage,"Schramme am Stossfänger, Farbe abgeschürft.",0,damage_type_mismatch,none
34,dent,Heckscheibe zerbrochen durch Vandalismusschaden.,0,damage_type_mismatch,medium
38,scratch,"Massiver Schaden, bar bezahlt, keine Quittung.",0,fraud_signal,minor
41,scratch,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,minor
35,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
37,glass_shatter,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,0,damage_type_mismatch,medium
37,no_damage,"Fahrzeug in einwandfreiem Zustand, keine Beeinträchtigungen.",1,none,none
7,no_damage,"Schramme am Stossfänger, Farbe abgeschürft.",0,damage_type_mismatch,none
14,glass_shatter,Heckscheibe zerbrochen durch Vandalismusschaden.,1,none,medium
49,dent,"Kleiner Kratzer laut Kunde, kaum sichtbar — dringend Auszahlung.",0,fraud_signal,medium
3,scratch,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,minor
2,crack,Riss im Stossfänger nach leichtem Aufprall.,1,none,minor
33,scratch,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,1,none,minor
2,scratch,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,1,none,minor
3,glass_shatter,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,medium
19,dent,"Massiver Frontschaden, Airbags ausgelöst, nicht fahrbereit.",0,severity_mismatch,medium
7,dent,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,0,damage_type_mismatch,medium
33,crack,"Unbekannte haben Fahrzeug gestohlen, keine Zeugen.",0,fraud_signal,minor
23,glass_shatter,"Keine Zeugen, sofort gemeldet, dringend Entschädigung CHF 15.000.",0,fraud_signal,medium
39,crack,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,0,damage_type_mismatch,minor
9,no_damage,Überprüfung ergab keine äusserlichen Schäden am Fahrzeug.,1,none,none
49,crack,Gebrochenes Kunststoffteil an der vorderen Verkleidung.,1,none,minor
41,dent,"Lackschaden durch Vandalismus, langer Kratzer auf der Fahrerseite.",0,damage_type_mismatch,medium
29,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
23,crack,"Unbekannte haben Fahrzeug gestohlen, keine Zeugen.",0,fraud_signal,minor
6,no_damage,Überprüfung ergab keine äusserlichen Schäden am Fahrzeug.,1,none,none
16,dent,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,0,damage_type_mismatch,medium
35,dent,Heckscheibe zerbrochen durch Vandalismusschaden.,0,damage_type_mismatch,medium
31,no_damage,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,0,damage_type_mismatch,none
6,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
13,glass_shatter,Kleiner Kratzer laut Kunde — Totalschaden beantragt.,0,fraud_signal,medium
32,scratch,"Totalschaden nach Unfall, keine Polizeirapport, dringend Rückerstattung.",0,fraud_signal,minor
16,glass_shatter,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,1,none,medium
12,scratch,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",0,damage_type_mismatch,minor
26,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
27,glass_shatter,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,1,none,medium
26,scratch,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,minor
33,glass_shatter,"Minimaler Schaden, kaum der Rede wert, kleiner Kratzer.",0,severity_mismatch,medium
43,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
12,dent,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,0,damage_type_mismatch,medium
24,no_damage,"Fahrzeug wirkt unbeschädigt, keine Spuren einer Kollision.",1,none,none
0,dent,"Totalschaden, Fahrzeug wirtschaftlich nicht mehr reparierbar.",0,severity_mismatch,medium
36,crack,Bruch am Stossfänger nach Kollision mit Randstein.,1,none,minor
37,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
26,no_damage,"Fahrzeug wirkt unbeschädigt, keine Spuren einer Kollision.",1,none,none
34,crack,Riss im Stossfänger nach leichtem Aufprall.,1,none,minor
36,scratch,Kratzer im Lack an der Seitenwand durch spitzen Gegenstand.,1,none,minor
48,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
20,crack,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",0,damage_type_mismatch,minor
43,crack,"Sofortige Auszahlung benötigt, keine Details verfügbar.",0,fraud_signal,minor
8,dent,"Glasbruch an der Frontscheibe, Splitter im Fahrzeug.",0,damage_type_mismatch,medium
7,dent,"Kleiner Kratzer laut Kunde, kaum sichtbar — dringend Auszahlung.",0,fraud_signal,medium
7,scratch,"Massiver Schaden, bar bezahlt, keine Quittung.",0,fraud_signal,minor
40,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
48,dent,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,1,none,medium
33,scratch,"Glasbruch an der Frontscheibe, Splitter im Fahrzeug.",0,damage_type_mismatch,minor
0,dent,"Kleiner Kratzer laut Kunde, kaum sichtbar — dringend Auszahlung.",0,fraud_signal,medium
1,scratch,"Schramme am Stossfänger, Farbe abgeschürft.",1,none,minor
28,crack,"Fahrzeug komplett zerstört, Totalschaden nach Unfall.",0,severity_mismatch,minor
49,glass_shatter,Kleiner Kratzer laut Kunde — Totalschaden beantragt.,0,fraud_signal,medium
26,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
27,dent,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,0,damage_type_mismatch,medium
7,crack,"Fahrzeug komplett zerstört, Totalschaden nach Unfall.",0,severity_mismatch,minor
19,dent,"Lackschaden durch Vandalismus, langer Kratzer auf der Fahrerseite.",0,damage_type_mismatch,medium
21,dent,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,1,none,medium
21,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
20,dent,"Massiver Frontschaden, Airbags ausgelöst, nicht fahrbereit.",0,severity_mismatch,medium
47,no_damage,"Massiver Schaden nach Unfall mit unbekanntem Dritten, keine Zeugen.",0,fraud_signal,none
47,glass_shatter,"Lackschaden durch Vandalismus, langer Kratzer auf der Fahrerseite.",0,damage_type_mismatch,medium
23,no_damage,"Schwerer Frontaufprall, Totalschaden, nicht fahrbereit.",0,severity_mismatch,none
49,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
30,scratch,"Massiver Schaden, bar bezahlt, keine Quittung.",0,fraud_signal,minor
29,crack,"Unbekannte haben Fahrzeug gestohlen, keine Zeugen.",0,fraud_signal,minor
29,no_damage,"Fahrzeug wirkt unbeschädigt, keine Spuren einer Kollision.",1,none,none
30,no_damage,Massiver Schaden an Karosserie und Motor nach Kollision.,0,severity_mismatch,none
1,dent,Windschutzscheibe gesplittert durch Steinschlag auf Autobahn.,0,damage_type_mismatch,medium
32,glass_shatter,"Keine Zeugen, sofort gemeldet, dringend Entschädigung CHF 15.000.",0,fraud_signal,medium
16,crack,Delle im Kotflügel nach Auffahrunfall mit geringer Geschwindigkeit.,0,damage_type_mismatch,minor
24,dent,"Glasbruch an der Frontscheibe, Splitter im Fahrzeug.",0,damage_type_mismatch,medium
16,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
39,scratch,"Glasbruch an der Frontscheibe, Splitter im Fahrzeug.",0,damage_type_mismatch,minor
17,no_damage,Kein sichtbarer Schaden am Fahrzeug nach angeblichem Unfall.,1,none,none
49,glass_shatter,"Minimaler Schaden, kaum der Rede wert, kleiner Kratzer.",0,severity_mismatch,medium
45,scratch,"Lackschaden durch Vandalismus, langer Kratzer auf der Fahrerseite.",1,none,minor
7,glass_shatter,Kleiner Kratzer laut Kunde — Totalschaden beantragt.,0,fraud_signal,medium
45,scratch,"Seitenscheibe eingeschlagen, vermutlich Einbruchsversuch.",0,damage_type_mismatch,minor
22,crack,"Massiver Strukturschaden, Fahrzeug muss abgeschrieben werden.",0,severity_mismatch,minor
29,dent,"Totalschaden, Fahrzeug wirtschaftlich nicht mehr reparierbar.",0,severity_mismatch,medium
25,no_damage,"Fahrzeug in einwandfreiem Zustand, keine Beeinträchtigungen.",1,none,none
12,scratch,Totalschaden nach schwerem Auffahrunfall mit Personenschaden.,0,severity_mismatch,minor
30,crack,"Sofortige Auszahlung benötigt, keine Details verfügbar.",0,fraud_signal,minor
2,dent,Heckscheibe zerbrochen durch Vandalismusschaden.,0,damage_type_mismatch,medium
49,dent,Eingedrückte Karosserie nach leichter Kollision auf dem Parkplatz.,1,none,medium
0,glass_shatter,"Keine Zeugen, sofort gemeldet, dringend Entschädigung CHF 15.000.",0,fraud_signal,medium
20,dent,Oberflächlicher Lackschaden beim Einparken in enger Parklücke.,0,damage_type_mismatch,medium
